Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bismack Biyombo,C,28,CHO,26,16,22.5,2.7,4.6,0.58,0,0,0,2.7,4.5,0.585,0.58,0.8,1.8,0.447,2.2,3.6,5.8,1.3,0.2,1.2,0.9,2.3,6.1
Nemanja Bjelica,PF,32,SAC,13,0,16.2,2.3,5.2,0.448,0.5,2,0.269,1.8,3.2,0.561,0.5,1.8,2.2,0.821,0.9,2.8,3.8,2.2,0,0.2,1.2,1.8,6.9
Eric Bledsoe,SG,31,NOP,27,26,28.9,4.6,10.5,0.437,2.2,5.4,0.401,2.4,5.1,0.474,0.54,1.3,2,0.648,0.5,3.1,3.6,3.7,0.7,0.3,1.7,1.5,12.7
Keljin Blevins,SF,25,POR,8,0,4.8,0.1,1.1,0.111,0,0.4,0,0.1,0.8,0.167,0.111,0,0,0,0,0,0,0.5,0.3,0,0.4,0.5,0.3
Bogdan Bogdanovic,SG,28,ATL,9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.362,1,2.2,0.45,0.519,0.9,1,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2,9.9
Bojan Bogdanovic,SF,31,UTA,29,29,30.7,5,12.1,0.416,2.6,6.6,0.387,2.5,5.5,0.45,0.521,2.6,3,0.864,0.5,3.5,4,2.1,0.4,0,1.5,1.5,15.2
Bol Bol,PF,21,DEN,12,2,5.4,0.6,1.3,0.438,0.2,0.5,0.333,0.4,0.8,0.5,0.5,0.1,0.2,0.5,0,0.8,0.8,0.2,0.1,0.3,0.4,0.6,1.4
Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,0.333,0,0,0,0.2,0.5,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1,0,0.3,0.3,0.3,0,1.2
Jordan Bone,PG,23,ORL,14,0,14,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0,0,0,0.3,1.4,1.7,1.3,0.1,0,0.2,0.8,4
Isaac Bonga,SF,21,WAS,17,7,13.5,0.8,2.1,0.389,0.5,1.3,0.409,0.3,0.8,0.357,0.514,0.1,0.2,0.667,0.5,1.8,2.2,0.5,0.2,0.2,0.4,1.6,2.3
Devin Booker,SG,24,PHO,23,23,35.2,9,18.2,0.492,2,5.8,0.353,6.9,12.4,0.556,0.548,4.4,5.3,0.829,0.2,3.5,3.7,4.4,0.9,0.3,3.5,3.3,24.4
Chris Boucher,C,28,TOR,28,0,23.4,4.8,9,0.528,1.6,3.6,0.441,3.1,5.4,0.587,0.617,2.5,3.3,0.75,2,4.8,6.8,1,0.5,2.1,0.7,2.7,13.6
Brian Bowen,SF,22,IND,1,0,5,1,2,0.5,0,0,0,1,2,0.5,0.5,1,1,1,0,1,1,0,0,0,0,0,3
Avery Bradley,SG,30,MIA,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.421,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
Tony Bradley,C,23,PHI,10,1,11.7,1.9,3.6,0.528,0,0.1,0,1.9,3.5,0.543,0.528,0.3,0.5,0.6,2.1,2.9,5,0.6,0.3,0.6,0.1,1.1,4.1
Jarrell Brantley,PF,24,UTA,8,0,2.8,0.4,1,0.375,0.4,0.8,0.5,0,0.3,0,0.563,0,0,0,0.1,0.4,0.5,0,0.1,0.1,0.1,0.5,1.1
Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0,0.3,0,0,0,0,0,0.3,0,0,0.5,0.5,1,0.3,0.3,0.5,0.3,0,0,0.3,0,0.5
Mikal Bridges,SF,24,PHO,27,27,33.3,5.1,10.1,0.504,2,4.9,0.398,3.1,5.1,0.604,0.601,2,2.4,0.833,1.4,4,5.3,2.1,0.6,1,0.7,1.9,14.1
Miles Bridges,PF,22,CHO,28,2,26.7,3.8,8,0.469,1.3,3.5,0.364,2.5,4.5,0.552,0.549,1.1,1.2,0.939,1.3,4.5,5.8,1.9,0.7,0.8,1.8,2.4,9.9
Malcolm Brogdon,PG,28,IND,29,29,36,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,0.514,2.7,2.9,0.906,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6
Dillon Brooks,SF,25,MEM,24,24,29.2,6.1,15.4,0.397,1.9,6,0.319,4.2,9.4,0.447,0.459,1.7,2.1,0.8,1,2.2,3.3,2.6,1.3,0.4,2.3,3.3,15.8
Bruce Brown,PG,24,BRK,26,13,19.2,2.7,4.9,0.555,0.2,0.8,0.182,2.6,4.1,0.632,0.57,0.8,1.1,0.69,1.3,3.1,4.4,1,0.7,0.4,0.8,1.8,6.4
Jaylen Brown,SG,24,BOS,26,26,33.4,9.9,19.5,0.506,2.4,5.9,0.409,7.5,13.6,0.548,0.568,3.7,4.8,0.768,1.2,4.3,5.5,3.6,1.2,0.6,2.8,3,25.9
Moses Brown,C,21,OKC,7,0,4.4,1,1.4,0.7,0,0,0,1,1.4,0.7,0.7,1,2,0.5,0.6,1.6,2.1,0.4,0.1,0.6,0.1,0.6,3
